52,Black hole critical behavior with the generalized BSSN formulation,A. Akbarian;M. Choptuik,Physical Review D,"The development of hyperbolic formulations of Einstein’s equations has revolutionized our ability to perform long-time, stable, accurate numerical simulations of strong field gravitational phenomena. However, hyperbolic methods have seen relatively little application in one area of interest, type II critical collapse, where the challenges for a numerical code are particularly severe. Using the critical collapse of a massless scalar field in spherical symmetry as a test case, we study a generalization of the Baumgarte-Shapiro-Shibata-Nakamura formulation due to Brown that is suited for use with curvilinear coordinates. We adopt standard dynamical gauge choices, including 1+log slicing and a shift that is either zero or evolved by a Gamma-driver condition. With both choices of shift we are able to evolve sufficiently close to the black hole threshold to (1) unambiguously identify the discrete self-similarity of the critical solution, (2) determine an echoing exponent consistent with previous calculations, and (3) measure a mass scaling exponent, also in accord with prior computations. Our results can be viewed as an encouraging first step towards the use of hyperbolic formulations in more generic type II scenarios, including the as yet unresolved problem of critical collapse of axisymmetric gravitational waves."
53,Bortezomib/docetaxel combination therapy in patients with anthracycline-pretreated advanced/metastatic breast cancer: a phase I/II dose-escalation study,A. Awada;J. Albanell;P. Canney;L. Dirix;T. Gil;F. Cardoso;P. Gascon;M. Piccart;J. Baselga,British Journal of Cancer,"The aim of this study was to determine the dose-limiting toxicities (DLTs) and maximum tolerated dose (MTD) of bortezomib plus docetaxel in patients with anthracycline-pretreated advanced/metastatic breast cancer. Forty-eight patients received up to eight 21-day cycles of docetaxel (60–100 mg m−2 on day 1) plus bortezomib (1.0–1.5 mg m−2 on days 1, 4, 8, and 11). Pharmacodynamic and pharmacokinetic analyses were performed in a subset of patients. Five patients experienced DLTs: grade 3 bone pain (n=1) and febrile neutropenia (n=4). The MTD was bortezomib 1.5 mg m−2 plus docetaxel 75 mg m−2. All 48 patients were assessable for safety and efficacy. The most common adverse events were diarrhoea, nausea, alopecia, asthenia, and vomiting. The most common grade 3/4 toxicities were neutropenia (44%), and febrile neutropenia and diarrhoea (each 19%). Overall patient response rate was 29%. Median time to progression was 5.4 months. In patients with confirmed response, median time to response was 1.3 months and median duration of response was 3.2 months. At the MTD, response rate was 38%. Pharmacokinetic characteristics of bortezomib/docetaxel were comparable with single-agent data. Addition of docetaxel appeared not to affect bortezomib inhibition of 20S proteasome activity. Mean alpha-1 acid glycoprotein concentrations increased from baseline at nearly all time points across different bortezomib dose levels. Bortezomib plus docetaxel is an active combination for anthracycline-pretreated advanced/metastatic breast cancer. The safety profile is manageable and consistent with the side effects of the individual agents.The aim of this study was to determine the dose-limiting toxicities (DLTs) and maximum tolerated dose (MTD) of bortezomib plus docetaxel in patients with anthracycline-pretreated advanced/metastatic breast cancer. Forty-eight patients received up to eight 21-day cycles of docetaxel (60–100 mg m−2 on day 1) plus bortezomib (1.0–1.5 mg m−2 on days 1, 4, 8, and 11). Pharmacodynamic and pharmacokinetic analyses were performed in a subset of patients. Five patients experienced DLTs: grade 3 bone pain (n=1) and febrile neutropenia (n=4). The MTD was bortezomib 1.5 mg m−2 plus docetaxel 75 mg m−2. All 48 patients were assessable for safety and efficacy. The most common adverse events were diarrhoea, nausea, alopecia, asthenia, and vomiting. The most common grade 3/4 toxicities were neutropenia (44%), and febrile neutropenia and diarrhoea (each 19%). Overall patient response rate was 29%. Median time to progression was 5.4 months. In patients with confirmed response, median time to response was 1.3 months and median duration of response was 3.2 months. At the MTD, response rate was 38%. Pharmacokinetic characteristics of bortezomib/docetaxel were comparable with single-agent data. Addition of docetaxel appeared not to affect bortezomib inhibition of 20S proteasome activity. Mean alpha-1 acid glycoprotein concentrations increased from baseline at nearly all time points across different bortezomib dose levels. Bortezomib plus docetaxel is an active combination for anthracycline-pretreated advanced/metastatic breast cancer. The safety profile is manageable and consistent with the side effects of the individual agents."
54,CD4-Independent Infection of Two CD4−/CCR5−/CXCR4+ Pre-T-Cell Lines by Human and Simian Immunodeficiency Viruses,A. Borsetti;C. Parolin;B. Ridolfi;L. Sernicola;A. Geraci;B. Ensoli;F. Titti,Journal of Virology,"The infection of CD4-negative cells by variants of tissue culture-adapted human immunodeficiency virus type 1 (HIV-1) or HIV-2 strains has been shown to be mediated by the CXCR4 coreceptor. Here we show that two in vitro-established CD4−/CCR5−/CXCR4+ human pre-T-cell lines (A3 and A5) can be productively infected by wild-type laboratory-adapted T-cell-tropic HIV-1 and HIV-2 strains in a CD4-independent, CXCR4-dependent fashion. Despite the absence of CCR5 expression, A3 and A5 cells were susceptible to infection by the simian immunodeficiency viruses SIVmac239 and SIVmac316. Thus, at least in A3 and A5 cells, one or more of the chemokine receptors can efficiently support the entry of HIV and SIV isolates in the absence of CD4. These findings suggest that to infect cells of different compartments, HIV and SIV could have evolved in vivo to bypass CD4 and to interact directly with an alternative receptor."
55,CONSCIOUSLY WORKING AT THE UNCONSCIOUS LEVEL: PSYCHODYNAMIC THEORY IN ACTION IN A TRAINING ENVIRONMENT,A. Collie,Journal of Social Work Practice,"The author explores methods of working with residential child care foster care agencies in developing a psychotherapeutic culture. He suggests that such a culture can only be built on the firm foundations of clear organisational boundaries and task, but that such clarity is not sufficient. In addition, senior managers must have an understanding of unconscious processes and how they affect relationships between adults and children and between colleagues within the organisational hierarchy. The process requires a range of possible interventions including organisational consultancy, practice consultancy and staff support, specialist training and explorations of team processes."
56,Can vouchers reduce elite capture of local development projects? Experimental evidence from the Solomon Islands,A. Beath;A. Benyishay;G. D'Adda;P. Grosjean;R. Weber,Journal of Public Economics,"External financing of local public goods can potentially create ‘political resource curses' by reducing citizen oversight, exacerbating elite capture, and producing policy outcomes that are sub-optimal for the general population. This paper experimentally tests a novel mechanism that seeks to mitigate elite capture of local development projects. Control communities are provided with block grants to fund local public goods, while households in treatment communities are provided with vouchers that they may either contribute to a public good or redeem at a discount for a private capital good. We find that the use of vouchers as a mechanism for aid delivery increases community participation in local public decision-making, changes the nature of allocation outcomes, and improves community satisfaction with allocation outcomes."
57,Centrifuge Modeling of the Seismic Performance of Pile-Reinforced Slopes,A. Al-Defae;J. Knappett,Journal of Geotechnical and Geoenvironmental Engineering,"An extensive program of centrifuge testing was conducted to quantify the improvements to seismic slope performance that can be achieved by installing a row of discretely spaced vertical precast RC piles. A key novelty of the work presented is the use of recently developed microreinforced concrete to produce realistically damageable model piles. Pile-reinforced slopes are a good example of a problem in which relative soil-pile strength is important in determining whether the soil or pile yields first, and in which the performance of a slope with structurally damaged piles may be of interest. The new model RC allows these factors to be properly accounted for in a reduced-scale physical model for the first time. Two different reinforcement layouts were considered, representing (1) a section specifically detailed to carry the bending moments induced by the slipping soil mass, and (2) a nominally reinforced section with low moment capacity. These were supported by further tests on conventional elastic piles that were instrumented to measure seismic soil-pile interaction. It was demonstrated that dynamic ground motions at the crest can be significantly reduced in amplitude by up to 20% with elastic piles spaced at s/B=3.5, both in terms of the peak acceleration and across the full response spectrum. Permanent deformations at the slope crest (e.g., settlement) were also reduced by up to 35% at s/B=3.5. These findings are consistent with previous suggestions made for the optimal s/B ratio for encouraging soil arching between piles at maximum spacing both under monotonic conditions and from numerical investigations of the seismic problem. The improvements to slope performance were reduced slightly using the designed microreinforced concrete piles owing to deterioration in the bending properties arising from fatigue under the cyclic kinematic loading. This suggests that idealization of RC piles as elastic elements will likely be only an approximation of their true behavior. The importance of reinforcement detailing was also highlighted, with the nominally reinforced section yielding early in the earthquake, and the damaged piles subsequently only offering a small (although measureable) reduction in seismic slope performance compared with the unreinforced case. In addition to these findings, the data presented will be useful in validating future improved numerical models for predicting the performance of piled slopes and for the aseismic design of pile-reinforcing schemes."
58,Challenges and Trends in the Design of a New Air Interface,A. Alexiou;D. Falconer,IEEE Vehicular Technology Magazine,"The wide variety of envisioned data services and the requirements for transparent operation across different technologies, adaptivity to varying network conditions and quality of service (QoS) constraints introduce a number of challenges in the design of future generation systems and the specification of a new air interface, such as efficiency in the utilization of spectrum, dynamic resource allocation and interference management. Air interfaces will likely be reconfigurable, based on frequency domain transmission and reception methods, and adaptively selecting the uplink and downlink modulation and multiple access scheme that is most appropriate for the channel, interference, traffic and cost constraints. In this paper the challenges in the design of a new air interface are analyzed, a number of enabling technologies, such as smart antennas and relay-based systems, that help address these challenges, are presented, and critical parameters and open issues are discussed"
59,Characterization of Modified Fischer–Tropsch Catalysts Promoted with Alkaline Metals for Higher Alcohol Synthesis,A. Cosultchi;M. Pérez-Luna;J. Morales-Serna;M. Salmón,Catalysis Letters,"Two series of Cu/Co/Cr modified Fischer–Tropsch catalyst promoted with Zn or Mn and an alkaline metal (Me: Li, Na, K, Rb, Cs) were prepared by co-precipitation method and tested for high alcohol synthesis (HAS) at one hour on-stream and at two temperatures, 300 and 350 °C. The results indicate that the best selectivity toward high alcohols depends on temperature and catalysts composition and is obtained as follows: a) at 300 °C over catalysts without Zn and containing K, Na and Rb; b) at 350 °C over catalysts without Zn and containing K; c) at 350 °C over catalysts containing Zn as well as Li and Cs. Graphical Abstract Two series of Cu/Co/Cr modified Fischer–Tropsch catalyst promoted with Zn or Mn and an alkaline metal (Me: Li, Na, K, Rb, Cs) were prepared by co-precipitation method and tested for HAS at one hour on-stream and at two temperatures, 300 and 350 °C. The results indicate that the higher HA production (i.e. normal and branched butanol) is obtained at 350 °C over catalysts promoted with Zn and all alkali metals, except for Li which shown its best performance at 300 °C."
60,Characterization of injury in isolated rat proximal tubules during cold incubation and rewarming,A. Bienholz;B. Walter;G. Pless-Petig;H. Guberina;A. Kribben;O. Witzke;U. Rauen,PLOS ONE (Physical Sciences),"Organ shortage leads to an increased utilization of marginal organs which are particularly sensitive to storage-associated damage. Cold incubation and rewarming-induced injury is iron-dependent in many cell types. In addition, a chloride-dependent component of injury has been described. This work examines the injury induced by cold incubation and rewarming in isolated rat renal proximal tubules. The tissue storage solution TiProtec® and a chloride-poor modification, each with and without iron chelators, were used for cold incubation. Incubation was performed 4°C for up to 168 h, followed by rewarming in an extracellular buffer (3 h at 37°C). After 48, 120 and 168 h of cold incubation LDH release was lower in solutions containing iron chelators. After rewarming, injury increased especially after cold incubation in chelator-free solutions. Without addition of iron chelators LDH release showed a tendency to be higher in chloride-poor solutions. Following rewarming after 48 h of cold incubation lipid peroxidation was significantly decreased and metabolic activity was tendentially better in tubules incubated with iron chelators. Morphological alterations included mitochondrial swelling and fragmentation being partially reversible during rewarming. ATP content was better preserved in chloride-rich solutions. During rewarming, there was a further decline of ATP content in the so far best conditions and minor alterations under the other conditions, while oxygen consumption was not significantly different compared to non-stored control tubules. Results show an iron-dependent component of preservation injury during cold incubation and rewarming in rat proximal renal tubules and reveal a benefit of chloride for the maintenance of tubular energy state during cold incubation."
61,Chromatographic models to predict the elution of ionizable analytes by organic modifier gradient in reversed phase liquid chromatography,A. Andrés;A. Téllez;M. Rosés;E. Bosch,Journal of Chromatography A,"The retention of an ionizable analyte under RP-HPLC organic modifier gradient elution is strongly affected by its ionization degree which, in turn, depends on its pKa and on the pH of the mobile phase. The values of both parameters change depending on the mobile phase composition and thus retention becomes a parameter quite difficult to predict, particularly when working in gradient mode. In this work, an equation describing the retention of ionizable analytes has been combined with three different models of different complexity, developed for gradient elution of neutral compounds (1, 2, or 3 fitting parameters), in order to predict retention of compounds with acid–base properties with particular buffers. All models have been tested under 16 different gradient patterns (4 linear gradients, 4 concave gradients, 4 convex gradients and 4 combinations between them) for the prediction of the retention time of 12 acid–base compounds (pKa values from 4 to 9) in 3 different buffered mobile phases (pH 5, pH 7 and pH 9) with acetonitrile as organic modifier. The agreement between the experimental and calculated retention times is good for all models. The best results are obtained through the model that depends on three parameters and the accuracy of the two-parameter model is slightly lower but very acceptable too. On the other hand, the predictions performed with the one-parameter model are the less accurate, but good enough to become a valid model taking into account that it requires very little experimental work.The retention of an ionizable analyte under RP-HPLC organic modifier gradient elution is strongly affected by its ionization degree which, in turn, depends on its pKa and on the pH of the mobile phase. The values of both parameters change depending on the mobile phase composition and thus retention becomes a parameter quite difficult to predict, particularly when working in gradient mode. In this work, an equation describing the retention of ionizable analytes has been combined with three different models of different complexity, developed for gradient elution of neutral compounds (1, 2, or 3 fitting parameters), in order to predict retention of compounds with acid–base properties with particular buffers. All models have been tested under 16 different gradient patterns (4 linear gradients, 4 concave gradients, 4 convex gradients and 4 combinations between them) for the prediction of the retention time of 12 acid–base compounds (pKa values from 4 to 9) in 3 different buffered mobile phases (pH 5, pH 7 and pH 9) with acetonitrile as organic modifier. The agreement between the experimental and calculated retention times is good for all models. The best results are obtained through the model that depends on three parameters and the accuracy of the two-parameter model is slightly lower but very acceptable too. On the other hand, the predictions performed with the one-parameter model are the less accurate, but good enough to become a valid model taking into account that it requires very little experimental work.► Three different models to predict the retention of ionizable analytes involving three, two and one adjustable parameters, respectively are proposed. ► The proposed models are successfully validated for different buffered mobile phases and gradient patterns. ► The accuracy of the obtained results for the three- and two-parameter models is good and equivalent. ► The accuracy of the obtained results for the one-parameter model is less accurate but good enough taking into account that very little experimental effort is required."
62,Chronic sublethal exposure to silver nanoparticles disrupts thyroid hormone signaling during Xenopus laevis metamorphosis,A. Carew;M. Hoque;C. Metcalfe;C. Peyrot;C. Helbing,Aquatic Toxicology,"Nanoparticles (NPs) are engineered in the nanoscale (&lt;100 nm) to have unique physico-chemical properties from their bulk counterparts. Nanosilver particles (AgNPs) are the most prevalent NPs in consumer products due to their strong antimicrobial action. While AgNP toxicity at high concentrations has been thoroughly investigated, the sublethal effects at or below regulatory guidelines are relatively unknown. Amphibian metamorphosis is mediated by thyroid hormone (TH), and initial studies with bullfrogs (Rana catesbeiana) indicate that low concentrations of AgNPs disrupt TH-dependent responses in premetamorphic tadpole tailfin tissue. The present study examined the effects of low, non-lethal, environmentally-relevant AgNP concentrations (0.018, 0.18 or 1.8 μg/L Ag; ∼10 nm particle size) on naturally metamorphosing Xenopus laevis tadpoles in two-28 day chronic exposures beginning with either pre- or prometamorphic developmental stages. Asymmetric flow field flow fractionation with online inductively coupled plasma mass spectrometry and nanoparticle tracking analysis indicated a mixture of single AgNPs with homo-agglomerates in the exposure water with a significant portion (∼30–40%) found as dissolved Ag. Tadpoles bioaccumulated AgNPs and displayed transient alterations in snout/vent and hindlimb length with AgNP exposure. Using MAGEX microarray and quantitative real time polymerase chain reaction transcript analyses, AgNP-induced disruption of five TH-responsive targets was observed. The increased mRNA abundance of two peroxidase genes by AgNP exposure suggests the presence of reactive oxygen species even at low, environmentally-relevant concentrations. Furthermore, differential responsiveness to AgNPs was observed at each developmental stage. Therefore, low concentrations of AgNPs had developmental stage-specific endocrine disrupting effects during TH-dependent metamorphosis.Silver nanoparticles (AgNPs) are commonly found in consumer products.Frog tadpoles undergoing metamorphosis were exposed to low, sublethal amounts.Differential bioaccumulation of AgNPs was observed depending on developmental stage.Thyroid hormone-dependent gene transcript abundance was affected by AgNPs.Transcriptomic analyses suggest reactive oxygen species were generated.Nanoparticles (NPs) are engineered in the nanoscale (&lt;100 nm) to have unique physico-chemical properties from their bulk counterparts. Nanosilver particles (AgNPs) are the most prevalent NPs in consumer products due to their strong antimicrobial action. While AgNP toxicity at high concentrations has been thoroughly investigated, the sublethal effects at or below regulatory guidelines are relatively unknown. Amphibian metamorphosis is mediated by thyroid hormone (TH), and initial studies with bullfrogs (Rana catesbeiana) indicate that low concentrations of AgNPs disrupt TH-dependent responses in premetamorphic tadpole tailfin tissue. The present study examined the effects of low, non-lethal, environmentally-relevant AgNP concentrations (0.018, 0.18 or 1.8 μg/L Ag; ∼10 nm particle size) on naturally metamorphosing Xenopus laevis tadpoles in two-28 day chronic exposures beginning with either pre- or prometamorphic developmental stages. Asymmetric flow field flow fractionation with online inductively coupled plasma mass spectrometry and nanoparticle tracking analysis indicated a mixture of single AgNPs with homo-agglomerates in the exposure water with a significant portion (∼30–40%) found as dissolved Ag. Tadpoles bioaccumulated AgNPs and displayed transient alterations in snout/vent and hindlimb length with AgNP exposure. Using MAGEX microarray and quantitative real time polymerase chain reaction transcript analyses, AgNP-induced disruption of five TH-responsive targets was observed. The increased mRNA abundance of two peroxidase genes by AgNP exposure suggests the presence of reactive oxygen species even at low, environmentally-relevant concentrations. Furthermore, differential responsiveness to AgNPs was observed at each developmental stage. Therefore, low concentrations of AgNPs had developmental stage-specific endocrine disrupting effects during TH-dependent metamorphosis."
63,Circulation of the Turkish Straits System under interannual atmospheric forcing,A. Aydoğdu;N. Pinardi;E. Özsoy;G. Danabasoglu;Ö. Gürses;A. Karspeck,Ocean Science,"A simulation of the Turkish StraitsSystem (TSS) using a high-resolution, three-dimensional, unstructured meshocean circulation model with realistic atmospheric forcing for the 2008–2013period is presented. The depth of the pycnocline between the upper and lowerlayers remains stationary after 6 years of integration, indicating thatdespite the limitations of the modelling system, the simulation maintains itsrealism. The solutions capture important responses to high-frequencyatmospheric events such as the reversal of the upper layer flow in theBosphorus due to southerly severe storms, i.e. blocking events, to the extentthat such storms are present in the forcing dataset. The annual averagecirculations show two distinct patterns in the Sea of Marmara. When the windstress maximum is localised in the central basin, the Bosphorus jet flows tothe south and turns west after reaching the Bozburun Peninsula. In contrast,when the wind stress maximum increases and expands in the north–southdirection, the jet deviates to the west before reaching the southern coastand forms a cyclonic gyre in the central basin. In certain years, the meankinetic energy in the northern Sea of Marmara is found to be comparable tothat of the Bosphorus inflow."
64,"Clinical and Molecular Characteristics of Extended-Spectrum- β-Lactamase-Producing Escherichia coli Causing Bacteremia in the Rotterdam Area, Netherlands",A. Bij;G. Peirano;W. Goessens;E. Vorm;M. Westreenen;J. Pitout,Antimicrobial Agents and Chemotherapy,"We investigated the clinical and molecular characteristics of bacteremia caused by extended-spectrum-β-lactamase (ESBL)-producing Escherichia coli over a 2-year period (2008 to 2009) in the Rotterdam region (including 1 teaching hospital and 2 community hospitals) of Netherlands. The majority of patients presented with community onset urinary and intra-abdominal infections, with an increase in prevalence during 2009. The majority of E. coli isolates produced CTX-M-15, and 4 sequence types (ST38, ST131, ST405, and ST648) predominated. There were significant differences in clinical and molecular characteristics between the 2 community hospitals."
65,Clock skew reduction in ASIC logic design: a methodology for clock tree management,A. Balboni;C. Costi;M. Pellencin;A. Quadrini;D. Sciuto,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"This paper presents a methodology for the automatic generation of clock trees in an ASIC design at the gate level. New algorithms and heuristics are described: they have been inserted with success in an industrial ASIC design flow, after the logic synthesis and optimization step. Our algorithms, by different heuristic methods, particularly take into account those elements connected as transmitter-receiver couples which represent the most critical configurations for circuit synchronization. Improvement of clock tree performance has also been obtained by means of an interaction strategy between logic and physical design phases. Such a strategy drives the placement of the clock tree elements in an equidistant way, in order to obtain a controlled routing."
66,Cluster Randomized Trial of Social Accountability Interventions in Cambodia,A. Beath;P. Trang;W. Yen,AEA RCT Registry,"Despite a decade of rapid economic growth, the access of Cambodian villagers to public services and facilities is still among the lowest in the region. Such failures in service delivery are considered by development agencies and researchers to be at least partially due to limited citizen engagement with local public institutions, which in turn reduces the responsiveness of service providers to the needs of the population. In order to enhance the accountability of service providers and local officials and, as a result, improve the quality of service delivery, the Cambodian government, non-governmental organizations (NGOs), and bilateral donors have – with assistance from the World Bank through the Voice and Action Program (VAP) – developed the Social Accountability Framework (SAF). Whereas evaluations of social accountability interventions in other contexts indicate that such interventions have been unsuccessful due to a failure to provide service providers and local officials with incentives to change their behavior, the design of the SAF builds on lessons from the body existing research by providing for coordinated interventions by both state and non-state actors. The Voice and Action Program (VAP) Impact Evaluation (VAP-IE) will use a randomized controlled trial conducted across 42 districts in 15 provinces of Cambodia to determine whether the coordinated interventions mandated by SAF improve the quality of educational, health, and commune services provided to villagers in rural Cambodia and increase villagers’ engagement with local government. Evidence from the VAP-IE will be used by national authorities, NGOs, bilateral donors, and the World Bank to inform future funding and design decisions related to the National Decentralization Reform. The VAP-IE is also expected to contribute to general knowledge on the efficacy of social accountability interventions by providing a rigorous assessment of whether an innovative program that coordinates interventions by state and non-state actors can be successful in enforcing accountability and improving the quality of service delivery."
67,Coexistence of spin-glass and ferromagnetic order in the ±J Heisenberg spin-glass model,A. Beath;D. Ryan,Physical Review B,"Monte Carlo simulations of the bond-frustrated ±J Heisenberg model confirm the existence of a finite temperature spin-glass transition at TSG=0.220(5). Remarkably, this transition temperature is composition dependent, rising to TSG=0.25(1) by the ferromagnet–spin-glass boundary. Coexistence of ferromagnetic and spin-glass ordering is observed at low frustration levels for T<Txy, and the composition dependence of this transition is also followed. The behavior we observe below Txy agrees with both the mean field prediction and the experimental observations while being inconsistent with “re-entrance,” which demands a loss of ferromagnetic order. The complete phase diagram is presented."
68,CogSport: Reliability and Correlation with Conventional Cognitive Tests Used in Postconcussion Medical Evaluations,A. Collie;P. Maruff;M. Makdissi;P. Mccrory;M. Mcstephen;D. Darby,Clinical Journal of Sport Medicine,"Objective: To determine the repeatability of a computerized cognitive test designed to monitor recovery from concussion and assist team physicians make return to play decisions ( CogSport ™). To determine the correlation between CogSport and two conventional neuropsychological tests. Design: Prospective, serial investigation of cognitive function. Setting: Professional and semi-professional Australian Football clubs and a university affiliated research institute in Melbourne, Australia. Participants: Three-hundred healthy young adults, including 240 elite athletes. Main Outcome Measures: Intra-class correlation (ICC) coefficients for CogSport performance measures administered serially. ICC between CogSport performance measures and conventional neuropsychological tests. Normative data for CogSport performance measures. Results: Measures of psychomotor function, decision making, working memory and learning were highly reliable. Some measures also displayed high correlations with conventional neuropsychological tests of information processing and attention. Preliminary normative data is described. Conclusions: CogSport is a highly reliable cognitive function test when administered to healthy young adults and elite athletes. CogSport measures similar cognitive functions as conventional tests used commonly in concussion research."
69,Cognition in the days following concussion: comparison of symptomatic versus asymptomatic athletes,A. Collie;M. Makdissi;P. Maruff;K. Bennell;P. Mccrory,"Journal of Neurology, Neurosurgery and Psychiatry","Background: Concussion is a common neurological injury occurring during contact sport. Current guidelines recommend that no athlete should return to play while symptomatic or displaying cognitive dysfunction. This study compared post-concussion cognitive function in recently concussed athletes who were symptomatic/asymptomatic at the time of assessment with that of non-injured (control) athletes.Methods: Prospective study of 615 male Australian Rules footballers. Before the season, all participants (while healthy) completed a battery of baseline computerised (CogSport) and paper and pencil cognitive tasks. Sixty one injured athletes (symptomatic = 25 and asymptomatic = 36) were reassessed within 11 days of being concussed; 84 controls were also reassessed. The serial cognitive function of the three groups was compared using analysis of variance.Results: The performance of the symptomatic group declined at the post-concussion assessment on computerised tests of simple, choice, and complex reaction times compared with the asymptomatic and control groups. The magnitude of changes was large according to conventional statistical criteria. On paper and pencil tests, the symptomatic group displayed no change at reassessment, whereas large improvements were seen in the other two groups.Conclusion: Injured athletes experiencing symptoms of concussion displayed impaired motor function and attention, although their learning and memory were preserved. These athletes displayed no change in performance on paper and pencil tests in contrast with the improvement observed in asymptomatic and non-injured athletes. Athletes experiencing symptoms of concussion should be withheld from training and competition until both symptoms and cognitive dysfunction have resolved."
70,Coherent state monitoring in quantum dots,A. Al-Ahmadi;S. Ulloa,Physical Review B,"We study the dynamics of excitonic states in dimer and trimer arrangements of colloidal quantum dots using a density-matrix approach. The dots are coupled via a dipole-dipole interaction akin to the Förster mechanism. Coherent oscillations of tuned donor dots are shown to appear as plateaus in the acceptor dot, and therefore in its optical response. This behavior provides one with an interesting and unique handle to monitor the quantum state of the dimer, an “eavesdroping arrangement.” A trimer cluster in a symmetrical loop shows steady states in a shorter characteristic time than the typical radiative lifetime of the dots. Breaking the symmetry of the loop results again in damping oscillatory states in the donor dots and plateaus in the eavesdropping∕acceptor dot. The use of realistic parameters allows direct comparison with recent experiments and indicates that coherent-state monitoring is possible in real experiments."
71,Collaboration changes both the content and the structure of memory: Building the architecture of shared representations.,A. Congleton;S. Rajaram,Journal of Experimental Psychology: General,"Memory research has primarily focused on how individuals form and maintain memories across time. However, less is known about how groups of people working together can create and maintain shared memories of the past. Recent studies have focused on understanding the processes behind the formation of such shared memories, but none has investigated the structure of shared memory. This study investigated the circumstances under which collaboration would influence the likelihood that participants come to share both a similar content and a similar organization of the past by aligning their individual representations into a shared rendering. We tested how the frequency and the timing of collaboration affect participants’ retrieval organization, and how this in turn influences the formation of shared memory and its persistence over time. Across numerous foundational and novel analyses, we observed that as the size of the collaborative inhibition effect—a counterintuitive finding that collaboration reduces group recall—increased, so did the amount of shared memory and the shared organization of memories. These findings reveal the interconnected relationship between collaborative inhibition, retrieval disruption, shared memory, and shared organization. Together, these relationships have intriguing implications for research across a wide variety of domains, including the formation of collective memory, beliefs and attitudes, parent–child narratives and the development of autobiographical memory, and the emergence of shared representations in educational settings."
72,"Combining a rainfall–runoff model and a regionalization approach for flood and water resource assessment in the western Po Valley, Italy",A. Cislaghi;D. Masseroni;C. Massari;S. Camici;L. Brocca,Hydrological Sciences Journal,"Selecting the best structure and parameterization of rainfall–runoff models is not straightforward and depends on a broad number of factors. In this study, the “Modello Idrologico Semi-Distribuito in continuo” (MISDc) was tested on 63 mountainous catchments in the western Po Valley (Italy) and the optimal model parameters were regionalized using different strategies. The model performance was evaluated through several indexes analysing hydrological regime, high-flow condition and flow–duration curve (FDC). In general, MISDc provides a good fit behaviour with a Kling-Gupta Efficiency index greater than 0.5 for 100% and 84% of cases for calibration and validation respectively. Concerning the regionalization, spatial proximity approach is the most accurate solution obtaining satisfactory performance. Lastly, the predicted FDCs showed an excellent similarity with the observed ones. Results encourage to apply MISDc over the study area for flood forecasting and for assessing water resources availability thanks to the modest computational efforts and data requirements."
73,Comparative Performances of Birnessite and Cryptomelane MnO2 as Electrode Material in Neutral Aqueous Lithium Salt for Supercapacitor Application,A. Boisset;L. Athouël;J. Jacquemin;P. Porion;T. Brousse;M. Anouti,Journal of Physical Chemistry C,"Na-doped Birnessite-type manganese oxide (δ-MnO2) has been synthesized using the chemical method and characterized through X-ray diffraction and SEM, showing the lamellar structure and high crystal structure. A comparative study of the electrochemical performances of this material with those of the commercial Cryptomelane-type MnO2 has then been undertaken in ten neutral aqueous electrolytes for supercapacitor applications. Aqueous electrolytes, containing a lithium salt, LiX (where X = SO42–, NO3–, CH3CO2–, CH3SO3–, ClO4–, C7H15CO2–, TFSI–, Beti–, BOB–, or Lact–), have been first prepared under neutral pH conditions to reach the salt concentration, providing the maximum in conductivity. Their transport properties are then investigated through conductivities, viscosities, and self-diffusion coefficient measurements. Second, the thermal behaviors of these electrolytic aqueous solutions are then evaluated by using a differential scanning calorimeter from (213.15 to 473.15) K in order to access their liquid range temperatures. Cyclic voltammograms (CV) in three electrode configurations are thereafter investigated using Na Birnessite and Cryptomelane as working electrode material from (−0.05 to 1.5) V versus Ag/AgCl at various sweep rates from (2 to 100) mV·s–1. According to anion nature/structure and manganese oxide material type, different CV responses are observed, presenting a pure capacitive profile for Beti– or C6H13CO2– and an additional pseudocapacitive signal for the smallest anions, such as ClO4– and NO3–. The capacitances, energies, and efficiencies are finally calculated. These results indicate clearly that electrolytes based on a mineral lithium salt under neutral pH condition and high salt concentration (up to 5 mol·L–1) have better electrochemical performances than organic ones, up to 1.4 V with good material stability and capacity retention. The relationship between transport properties, electrostatic and steric hindrance considerations of hydrated ions, and their electrochemical performances is discussed in order to understand further the lithium intercalation–deintercalation processes in the lamellar or tunnel structure of investigated MnO2."
